Sr,Supply chain problem,Application domain,Title,Specific aspect / SC aspect,Tools used to build the model,Simulation method used,Optimization/prediction method used,Comments,Any attributes
77,"Planning, production planning",Industrial and Manufacturing,Semiconductor wafer fabrication production planning using multi-fidelity simulation optimisation,"Planning 

Production planning",Not specified,DES,Simulation based optimization,"Production/release planning for wafer fabs where cycle times depend on workload (re-entrant flows, batch processing, machine unreliability). The paper tackles the tension between accuracy (high-fidelity DES) and computational cost by proposing a multi-fidelity simulation-optimisation approach to select release plans that maximise profit while keeping simulation budget feasible.

Problem: Find profitable weekly release plans for a complex, re-entrant wafer fabrication system where cycle times depend on workload, but exhaustive high-fidelity simulation of many candidate plans is computationally prohibitive.
How they addressed it: The authors built a fast low-fidelity epoch/queueing approximation that reliably ranks candidate release plans by ordinal performance, then applied the MO2TOS multi-fidelity optimisation (Ordinal Transformation + OCBA sampling) to allocate a limited high-fidelity DES budget to the most promising groups. Experiments (70% and 90% utilisation scenarios) show MO2TOS finds better release plans faster than SPSA and naive sampling, reducing computation time while improving profit and WIP matching","Parameters:
Processing time distributions (lognormal processing times per workstation)
Failure/repair distributions (gamma distributions for unreliable machines)
Batch sizes
Planning horizon (26 weekly periods + extra periods to finish in-process lots)
Release bounds
Demand

Performance metrics and outputs
total profit (revenue ? material ? WIP ? inventory ? backlog costs).
Cost breakdowns: inventory cost, WIP holding cost, backlog cost, material cost.
computational time (total simulation hours), convergence behaviour."
78,"Resilience Modeling, Risk Estimation and Mitigation",Agriculture and Food,Risk assessment model using conditional probability and simulation: case study in a piped gas supply chain in Brazil,Risk assessment,SuperDecisions,Monte Carlo,Analysis and Risk assessment,"this paper develops a risk assessment model that integrates Analytic Network Process (ANP), Monte Carlo simulation, and Bayesian conditional probability to evaluate dependent risks in a piped gas supply chain, showing that demand risk in the customer company (Y) is the most critical driver of vulnerability across the chain.","Parameters (inputs):
    25 risk categories identified via systematic literature review (environmental, strategic, demand, supply, price, fiscal, market, operational, informational, etc.).
    100 risk factors (e.g., unexpected demand fluctuations, raw material quality issues, political/economic uncertainties).
    Expert judgments from 12 specialists (6 per company) across managerial areas.
    Triangular probability distributions (minimum, most likely, maximum values) for risk occurrence."
79,"Resilience Modeling, Risk Estimation and Mitigation",Agriculture and Food,"Assessing resilience measures in the Austrian dairy supply chain: a case-based simulation integrating strategic, tactical, and operational decisions","Resilience assessment
    (Backup stocks.
    Backup supply (import options).
    Backup transportation.
    Changed reorder policies.)",AnyLogic,DES,"Evaluating resilience measures across strategic, tactical, and operational levels.

Addressing demand surges (panic buying) and transportation shortages (truck/fuel/driver constraints).","this article demonstrates how integrated resilience measures (backup stocks, supply, transport, policy changes, operational adaptation, early-warning) can be quantitatively assessed in a discrete-event simulation of the Austrian dairy supply chain, highlighting their effectiveness in mitigating short-term disruptions.","Parameters (inputs):
    Number of dairy factories (25).
    Number of distribution centres (31).
    Number of retail stores (3,868).
    Trucks per dairy (20) and total trucks (1,301).
    Processing times (24 hours at factories, 12 hours throughput).
    Reorder policy (order-up-to with safety stock).
    Routing algorithm (nearest-neighbour).
    Consumer demand distribution (empirical data).
    Disruption scenarios:
        Demand increase (50–100%).
        Transportation capacity reduction (one-third fewer trucks).

Performance Metrics (outputs):
    Share of demand met (resilience indicator).
    Unmet demand percentage (during disrupted vs non-disrupted periods).
    Inventory positions at factories, distribution centres, and retail stores.
    Number of days with demand fulfilment >90%, 95%, 99%.
    Mean inventory levels and standard deviation.
    Sensitivity analysis of disruption magnitude."
80,"Resilience Modeling, Risk Estimation and Mitigation",Agriculture and Food,A simulation model for addressing supply chain disruptions under a multi-capital sustainability perspective: a case study in the agri-food sector,Analysis of supply chain under disruption,AnyLogistix,DES,Simulation based,Agri-food supply chain,
81,"Resilience Modeling, Risk Estimation and Mitigation",Agriculture and Food,Assessing operational resilience in food supply chains: a discrete-event simulation approach based on a framework for integrated decision-making,resilience analysis,AnyLogic,DES,simulation based,Food SC - Dairy SC,
82,"Resilience Modeling, Risk Estimation and Mitigation",Agriculture and Food,Simulation-based Digital Twin Development for Blockchain Enabled End-to-end Industrial Hemp Supply Chain Risk Management,Analysis of Hemp supply chain for risk control,Not specified,Other,Analysis,"Hemp is a plant, Industrial Hemp SC includes entire process of planting Hemp seeds, growing them to the final sale. Authors propose to develop Blockchain enabled IHSC to track data and key info, improve transparency and involve local authorities (quality control). They develop a DT to simulate and analyse IHSC to understand the processes in the SC and minimize risks. (Simulation for seed selection)","Yes. Arrival of seeds, pre-plant prepare time, cultivation time, harvest time ... (specific params)"
83,"Resilience Modeling, Risk Estimation and Mitigation",Agriculture and Food,A simulation model for addressing supply chain disruptions under a multi-capital sustainability perspective: a case study in the agri-food sector,risk analysis,AnyLogistix,DES,Simulation based,supermarket SC,
84,"Resilience Modeling, Risk Estimation and Mitigation",Healthcare and Medical,An Integrated System Dynamics and Discrete Event Supply Chain Simulation Framework for Supply Chain Resilience with Non-stationary Pandemic Demand,Analysis: Hybrid simulation framework to improve resilience,AnyLogic,Hybrid DES + SD,Analysis,"The paper proposes a hybrid simulation framework integrating system dynamics and discrete event simulation to enhance supply chain resilience during disruptions like the COVID-19 pandemic

Authors present case study of Oxygen Concentrators (medical device used to deliver oxygen to patient) during COVID19 pandemic","Specific: illness duration, hospitalization rate, OC inventory rate, OC inventory levels"
85,"Resilience Modeling, Risk Estimation and Mitigation",Healthcare and Medical,Simulation of IT Data Integration to Optimize an Antibiotics Supply Chain with System Dynamics,"Optimization of Antibiotic Supply chains
(Mitigating disruption by improving communications)",Vensim,SD,Simulation-based with Data Integration,"authors model on multiple aspects of AB supply chain: planning, reducing lead time, and inventory to prevent shortage and excess.
They also discuss data integration for communication: electronic data exchange, point of sale data","shipment rate, production rate, order fulfillment rate, delivery rate, order rate, usage rate (raw product)"
86,"Resilience Modeling, Risk Estimation and Mitigation",Healthcare and Medical,Assessing Resilience of Medicine Supply Chain Networks to Disruptions: A Proposed Hybrid Simulation modelling Framework,Analysis,AnyLogic,Hybrid DES + ABS + SD,Analysis,"Authors model and simulate a medicine SC (wholesaler, warehouse, point of sale, supplier, pharma ingredients producer) with disruptions (demand shock, and supply shock) to improve medicine SC.","Inventory replenishment policy (s,S), inventory parameters"
87,"Resilience Modeling, Risk Estimation and Mitigation",Healthcare and Medical,A Simulation-Based Method for Analyzing Supply Chain Vulnerability Under Pandemic: A Special Focus on the Covid-19,Analysis,Not specified,ABS,Analysis: Simulation-based,The article presents a simulation-based method to analyze supply chain vulnerabilities during the COVID-19 pandemic. It combines the susceptible-infected-recovered (SIR) model with agent-based simulation to study risk propagation from distribution centers to retailers,"Quarantine Start Day: The day quarantine measures begin.
Quarantine Duration: The length of the quarantine period.
Daily Testing Capacity: The number of tests conducted daily.
Contact Tracing Effectiveness: The efficiency of tracing contacts of infected individuals.
Symptomatic Test Rate: The rate at which symptomatic individuals are tested.
Infectivity: The rate at which the virus spreads."
88,"Resilience Modeling, Risk Estimation and Mitigation",Industrial and Manufacturing,Effects of adaptive cooperation among heterogeneous manufacturers on supply chain viability under fluctuating demand in post-COVID-19 era: an agent-based simulation,"Demand forecast

Production capacity and utilization (max/min capacity, capacity utilisation).
Order allocation and outsourcing across firms
Cooperation behaviours: cooperation establishment, win-win cooperation, cooperation priority (hubs prefer other hubs).
Demand fluctuation dynamics (multi-period epidemic waves)",Python,ABS,Analysis,"Supply chain viability (SCV) under fluctuating demand caused by recurrent pandemic waves.

Investigates how adaptive horizontal cooperation among heterogeneous manufacturers (hub LEs and non-hub SMEs) mitigates demand volatility, prevents hub failures, and improves system-level survivability.","Parameters (input)
    N = number of manufacturer nodes (default 1,000).
    Averaged degree ?K? (connectivity density of BA network).
    Hub selection: top 20% highest-degree nodes designated as hub manufacturers; remaining 80% are non-hub.
    Initial load computed from node degree and neighbour degrees;
    Maximum capacity, Minimum capacity, Agent order load, extra order, actual production 
    Cooperation parameters
    Demand ( fluctuating demand profile derived from COVID-19 waves)

Performance metrics

    Capacity Utilisation Rate 
    Productivity Saturation 
    On-Time Delivery Rate 
    Relative Productivity Efficiency: ratio of total hub production capacity to non-hub production capacity
    Relative Order Efficiency: ratio of orders received by hubs to orders received by non-hubs.
    Viability indicator: proportion of surviving hub manufacturers (1 ? failed hubs / total hubs)"
89,"Resilience Modeling, Risk Estimation and Mitigation",Industrial and Manufacturing,A Hybrid System Dynamics/Input-Output Model for Studying the Impact of Transportation Delays on the Resilience of National Supply Chains,Analysis: effect of transportation delays on supply chains,Not specified,SD,Analysis,Authors model transportation delays (and flow of goods) in national supply chain (that is responsible for delivering to different industrial supply chains) with disruptions to study its impact on industry and assess resilience,"Demand, total production, industry consumption, industry inventory levels, delivery delay"
90,"Resilience Modeling, Risk Estimation and Mitigation",Industrial and Manufacturing,System Dynamics Simulation of External Supply Chain Disruptions on a Simplified Semiconductor Supply Chain,Analysis: the impact of external disruptions on the semiconductor supply chain,AnyLogic,SD,Simulation-based,"The paper discusses the use of system dynamics simulation to analyze the impact of external disruptions (natural disasters, pandemics etc) on the semiconductor supply chain.
Authors build a semiconductor supply chain model, which can be subjected to what-if scenarios to assess the resilience.",Specific parameters to semiconductor supply chains.
91,"Resilience Modeling, Risk Estimation and Mitigation",Industrial and Manufacturing,Simulating and evaluating supply chain disruptions along an end-to-end semiconductor automotive supply chain,Analysis: multi echelon supply chain analysis under disruption events (pandemic/covid),AnyLogic,Hybrid DES + ABS + SD,analysis,"a simulation model to understand how a multi-level supply chain responds in pandemic. Pandemic causes fluctuations in demand, which leads to operational challenges in SC. To face these, SC partners should work in collaboration, which makes SC more resilient",Not explicitly mentioned
92,"Resilience Modeling, Risk Estimation and Mitigation",Industrial and Manufacturing,Analyzing Pre-Positioning within a Disrupted Bulk Petroleum Supply Chain,"Analysis: supply chain disruption events are modeled. (hurricane)

authors model different disruption mitigation strategies and assess their effectiveness",Not specified,Other,"analysis: pre-positioning disruption mitigation strategy is illustrated in paper

- leads to optimization problems","authors also show effects of disruption on inventory levels, and resumption of normal inventory conduct after the end of disruption","inventory Policy, inventory params

some specific about disruption duration, duration to recover from disruption and so on"
93,"Resilience Modeling, Risk Estimation and Mitigation",Industrial and Manufacturing,Evaluating the supply chain resilience strategies using discrete event simulation and hybrid multi-criteria decision-making (case study: natural stone industry),simulation of different strategies to choose one,Not specified,DES,simulation based,Natural stone SC,
94,"Resilience Modeling, Risk Estimation and Mitigation",Industrial and Manufacturing,A system dynamics model for assessing the ripple effect of intertwined supply networks,risk analysis,Vensim,SD,simulation based,Semiconductor SC,
95,"Resilience Modeling, Risk Estimation and Mitigation",Information and Communication Technology (ICT),Product Life Cycle Perspective on ICT Product Supply Chain Resilience,"Analysis 
analyzing the relations between the supply chain configuration and its ability to deal with vulnerabilities.",Not specified,Monte Carlo,Analysis,"Information and Telecommunication Technologies (ICT) supply chains, 
(example: smart watch, vulnerabilities: regular security updates)

Authors propose to model and simulate the ICT supply chains to find relationship between SC configuration, vulnerabilities and SC resiliences","Yes. product life cycle length, product monitor cost, node failure prob, cost of treating vulnerability"
96,"Resilience Modeling, Risk Estimation and Mitigation",Information and Communication Technology (ICT),Evaluating the Effectiveness of Countermeasures in ICT Supply Chains through Elicitation-Informed Simulation,Analysis: evaluating countermeasures (CMs) in Information and Communication Technology (ICT) supply chains (SCs) to combat counterfeiting,AnyLogic,Hybrid DES + ABS,Analysis,authors model ICT (Info Comm Tech) supply chains with disruptions to combat counterfeiting. They also assess the resilience of the supply chain.,
97,"Resilience Modeling, Risk Estimation and Mitigation",Information and Communication Technology (ICT),A Simulation-Optimization Approach for Designing Resilient Hyperconnected Physical Internet Supply Chains,Optimization: of cost and resilience of supply chain by integrating with Physical Internet,Not specified,DES,,Authors propose hybrid model DES+MIP to optimize SC resilience and costs. They model SC operations under disruptions,"SC nodes: supplier, customers, hubs
costs
capacities (supplier, hubs)
Disruptions (and their prob)"
98,"Resilience Modeling, Risk Estimation and Mitigation",Other/Not mentioned,Simulation-Driven Digital Twins: The DNA of Resilient Supply Chains,Analysis: the concept of digital twins and their importance in creating resilient supply chains,Not specified,Other,Analysis,discusses the concept of digital twins and their importance in creating resilient supply chains. The paper outlines required characteristics of digital twins and emphasizes the role of simulation in their development.,Not explicitly mentioned
99,"Resilience Modeling, Risk Estimation and Mitigation",Other/Not mentioned,A System Dynamics Model for Studying the Resiliency of Supply Chains and Informing Mitigation Policies for Responding to Disruptions,Analysis: study economic impact of supply chain disruptions,Stella Architect,SD,Analysis: hybrid SD and Input Output IO model is developed to study the economic impact of supply chains disruptions,"Authors develop SD and IO model of supply chains with disruptions to assess the resilience and understand its economic impact (changes in economy of region or country - employment, gross income, production, etc)","Yes, specific to disruption modeling,
speed of inv adjustment, labor hiring adjustment, consumption adjustment"
100,"Resilience Modeling, Risk Estimation and Mitigation",Other/Not mentioned,Additive manufacturing integration in E-commerce supply chain network to improve resilience and competitiveness,"Analysis
two echelon SC net with AM",Arena,DES,OptQuest,"The paper explores the integration of additive manufacturing (AM), specifically 3D printing, into e-commerce supply chains to enhance resilience and competitiveness. It investigates three utilization policies: reactive, proactive, and no-AM, within a two-echelon supply chain network. The study uses simulation optimization to analyze the impact of AM on various performance metrics like total network cost and response time. Findings indicate that the reactive policy significantly improves network performance, especially under low-demand scenarios, by reducing holding and ordering costs. The research provides valuable insights for managers on optimizing supply chain operations using AM, particularly during disruptions like the COVID-19 pandemic.","production cost, lead time, max response time (mrt), demand distribution, inventory holding cost, ordering cost

total sc cost, response time, inventory levels"
101,"Resilience Modeling, Risk Estimation and Mitigation",Other/Not mentioned,A generic representation of supply network resilience using simulation based experimentation,SC network resilience,NetLogo,ABS,simulation based,sc not mentioned,
102,"Resilience Modeling, Risk Estimation and Mitigation",Other/Not mentioned,Modeling Risk Prioritization of a Manufacturing Supply Chain using Discrete Event Simulation,"Analysis: 
Authors build the model to study risks in supply chain, prioritize them and help in decision making and developing mitigation strategies",Python,DES,Analysis: Simulation-based,Authors build a simulation model with risks to assess the performance and impact of various risks and prioritize them.,"likelihood of risk event, impact, time to fix disruption"
103,"Resilience Modeling, Risk Estimation and Mitigation",Other/Not mentioned,The role of simulation and optimization methods in supply chain risk management: Performance and review standpoints,,Not specified,Other,,Survey paper. Simulation based optimization for risk management,
104,"Resilience Modeling, Risk Estimation and Mitigation",Other/Not mentioned,"An agent-based model of supply chain financing: agents’ strategies, performance, and risk contagions",risk analysis,NetLogo,ABS,simulation based,not specified,
105,"Resilience Modeling, Risk Estimation and Mitigation; Supply Chain Design",Other/Not mentioned,Simulation-optimization methods for designing and assessing resilient supply chain networks under uncertainty scenarios: A review,review paper,Not specified,Other,,"highlights the importance of addressing uncertainty and risk in SCN design, emphasizing the need for resilience to recover from disruptions. The review categorizes existing literature based on methodologies, approaches to uncertainty, and the integration of metaheuristics, simulation, and machine learning. It identifies research opportunities, such as incorporating multiple criteria (monetary, environmental, social) and developing hybrid approaches to better handle dynamic conditions.",
106,"Resilience Modeling, Risk Estimation and Mitigation; Supply Chain Design",Other/Not mentioned,Simulation-optimization methods for designing and assessing resilient supply chain networks under uncertainty scenarios: A review,"supply chain design
(review paper)",Not specified,Other,,"The paper reviews the use of simulation-optimization methods for designing and assessing resilient supply chain networks (SCNs) under uncertainty scenarios. It highlights the importance of resilience in SCNs, especially in the face of disruptions like natural disasters and pandemics. The authors classify existing literature based on methodologies, approaches to uncertainty, and resilience factors. They emphasize the need for hybrid approaches combining metaheuristics, simulation, and machine learning to handle dynamic conditions",
107,Supply Chain Design,Agriculture and Food,An Agent-based Modelling Framework for Urban Agriculture,"Location (design) of supply chain nodes in order to maximize several performance metrics of the chain

e.g. predict/optimize location of retailers to maximize customer satisfaction (minimize trip dist and trip time)",Repast,ABS,Study showcases simulation with different scenarios. (GIS data of agricultural supply chain is used in simulation),The project is available in GitHub,No
108,Supply Chain Design,Agriculture and Food,Relief Food Supply Network Simulation,Analysis: to support management decision,Not specified,Other,Simulation-based analysis,a simulation model of the relief food distribution to refugees in a region that is vulnerable to multiple disasters on a daily basis. Authors model and simulate the supply chain and assess when the SC faces increased demand,"disaster_type, disaster_location, n_refugee (arrival), relief_food_demand,"
109,Supply Chain Design,Healthcare and Medical,Primary Healthcare Delivery Network Simulation Using Stochastic Metamodels,"Primary Health Center (PHC) network analysis using simulation-based methods

Evaluate (1) effect of patient flow, (2) effect of new PHC in network, (3) referrals (patient transfers from PHC to PHC)",Not specified,DES,stochastic metamodeling approach,PHC network is simulated (DES). A stochastic metamodel is built on top on the DES to save time. Authors propose analysis of the system to address important design choices of the system,"Yes. Doctor consultation time, service time at pharmacy and labs, patient arrival rate"
110,Supply Chain Design,Healthcare and Medical,Combining Simulation with Reliability Analysis in Supply Chain Project Management under Uncertainty: A Case Study in Healthcare,"Analysis of reliability of SC
(emphasis on which nodes are connected to which, or how certain paths in SC can bottleneck) - instead of locations",Not specified,Monte Carlo,Simulation-based,"A supply chain can be logically represented as multiple processing paths. Under stochastic conditions, it is hard to assess the reliability. Authors propose to build a logical representation of SC and then analyse it using simulation to assess reliability and to identify bottleneck paths","Yes. n tasks, tasks processing time t (random)"
111,Supply Chain Design,Humanitarian and Emergency,A Simulation Model for Short and Long Term Humanitarian Supply Chain Operations Management,Design of the supply chain,Arena,DES,"simulation-based 
(authors model and simulate multiple designs considering different aspects of SC to find the optimum one)","Traditionally, humanitarian supply chains are designed separately for different disaster phases, (speed for immediate response and cost reduction for reconstruction)
Authors propose a sustainable supply chain network integrating lean and agile principles to ensure a smooth transition from response to reconstruction.",Not explicitly mentioned
112,Supply Chain Design,Other/Not mentioned,A Simulation-Optimization Approach for Locating Automated Parcel Lockers in Urban Logistics Operations,"To find minimum-cost number of APL to be installed every year, and estimate their locations",Not specified,SD,simulation-based,"APL: locker boxes, for which the owner and delivery person has key/code (kind of no contact delivery). A delivery person can leave the parcel in the box and lock it, and owner can get the parcel whenever he/she is available. Cost of this method is lower than home deliveries, and there are no missed deliveries.","Yes. Table summarizing parameters is presented in the paper.

population, service level, number of deliveries, online purchase rate,"
113,Warehouse Operations Optimization,Other/Not mentioned,A Simulation Model to Determine Staffing Strategy and Warehouse Capacity for a Local Distribution Center,"warehouse operation optimization to maximize warehouse capacity utilization

(1) loading preparation
(2) warehouse staffing (staff that load/unload boxes, sorts, puts at right places)",Simio,DES,Different scenarios are simulated and analysed to find the optimum,Optimal Team Formation and Job Assignment to Optimize Warehouse Operations,"Yes. Arrival modeled using Poisson process.
Rest: specific parameters in warehouse operation. (stock Levels)

e.g. Contract Type (fixed-term, perm, casual), Shift (day, night), level (expert, med, beginner)"
114,Warehouse Operations Optimization,Other/Not mentioned,Optimal Team Formation and Job Assignment to Optimize Warehouse Operations,"Optimization of warehouse operations at manufacturer
(determining optimum team formation, buffer allocation and job assignments to minimize total time required to unload, scan, breakdown and store parts (which is gonna used in manufacturing)",Arena,DES,OptQuest,"Authors model and simulate operations at a warehouse (unloading). The work focuses on determining the optimal team formation, buffer allocation, and job assignment to minimize the total time required to unload, scan, breakdown, and store parts from sea-containers and trailers","Number of teams, num of forklifts, workforce (teams available for various operations - scanner, forklift operator etc)"
115,Warehouse Operations Optimization,Other/Not mentioned,A simulation-based experimental design for SBS/RS warehouse design by considering energy related performance metrics,Warehouse operations,Arena,DES,Simulation based analysis/optimization,"The paper discusses a simulation-based experimental design for optimizing Shuttle-Based Storage and Retrieval Systems (SBS/RS) in warehouses, focusing on energy-related performance metrics","arrival (Poisson), speed and acceleration of lifts and shuttles, number of aisles

performance: avg cycle time, energy consumption"
116,Warehouse Operations Optimization,Other/Not mentioned,A simulation study on the robotic mobile fulfillment system in high-density storage warehouses,Analysis,Not specified,Other,Simulation based,"investigates the Robotic Mobile Fulfillment System (RMFS) in high-density storage warehouses, focusing on improving space utilization and picking efficiency. It introduces a simulation platform to compare traditional and high-density RMFS layouts, revealing that high-density layouts can save around 10% of storage space while maintaining similar robot deployment and energy consumption levels. The study also addresses challenges like task assignment, path planning, and traffic control in high-density environments, proposing solutions for blocking and deadlock issues.","components in the model: robot, pod, zone, task (and associated param)

Throughput, wait time, total travel dist, num of deadlocks"
117,Warehouse Operations Optimization,Other/Not mentioned,A simulation-based evaluation of warehouse check-in strategies for improving inbound logistics operations,"Warehouse operations
Inbound logistics",Simio,DES,Analysis,"evaluates different strategies to improve the check-in process for inbound logistics at a warehouse, aiming to reduce detention fees and CO2 emissions. 
The study compares current operations with proposed policies like staging areas, dynamic dispatching rules, and automated technology. The results suggest that a staging area with dynamic dispatching rules offers a cost-effective short-term solution, while automated technology provides the best long-term benefits by eliminating detention fees and significantly reducing CO2 emissions","Truck arrival rate, check-in process time, truck type and size,
performance: detention fees, CO2 emmission, truck turnaround time"
118,Warehouse Operations Optimization,Other/Not mentioned,A dynamic simulation framework based on hybrid modeling paradigm for parallel scheduling systems in warehouses,"Warehouse operations
(including job scheduling)",AnyLogic,Hybrid DES + ABS,simulation based,"They propose a framework (integrated control methodology ICM) based on the state changes of dispatchers & logistics equipment, behaviour of dispatchers. This method is incorporated in warehouse workflow model. They present a case study to showcase the feasibility of the proposed framework.",
